id;text;label;predict_proba;predict_label;lime_weights
464;Kebun Raya bogor can be one of the travel destinations;neutral;[0.08720848250399309, 0.7945534706592051, 0.11823804683680149];neutral;{'negative': [('one', -0.15266281475660923), ('can', -0.05680527708869075), ('be', 0.03720579164255768), ('of', 0.019684645987192047), ('travel', 0.018573127810494902), ('bogor', -0.014726103282812578)], 'neutral': [('one', 0.18821510674575573), ('bogor', 0.0969828874834613), ('the', -0.08644626956523953), ('Raya', -0.037595610840228263), ('of', -0.029867121216959155), ('travel', 0.020175613802738034)], 'positive': [('bogor', -0.07830795176149502), ('the', 0.07616751275390318), ('can', 0.07313111161839551), ('be', -0.05028643371913205), ('travel', -0.03629762302361905), ('one', -0.030922120215171496)]}
254;The Peak is located near Lembang in the breezy highlands of Bandung, which is ideal, but you'll have to go through quite a winding and steep road, with sharp turns along the way. Driving here at night or while raining is not recommended. In The Peak, there's a restaurant with a beautiful hillside view of Bandung city, but the meals are very expensive and not at all worth the price.;negative;[0.09524120996270616, 0.02776319963734882, 0.8769955903999451];positive;{'negative': [('not', 0.10586941943873948), ('with', -0.10094143331582578), ('the', -0.09364373702123774), ('here', -0.08525306690016476), ('recommended', -0.07008961211662885), ('Peak', 0.0621257883634656)], 'neutral': [('is', -0.09145018653614888), ('and', -0.08887538099770677), ('the', -0.08542713557943006), ('The', -0.04323990941982924), ('at', 0.039763907985768676), ('very', -0.039646243241486974)], 'positive': [('the', 0.16525567805803326), ('and', 0.13563498611354805), ('with', 0.12451717628497931), ('is', 0.12000100662674724), ('not', -0.11617878513390585), ('here', 0.11332253768528629)]}
618;I'm never using Lion Air services ever again.;negative;[0.2601283853932753, 0.3773042634549493, 0.3625673511517756];neutral;{'negative': [('ever', 0.10361925422812238), ('never', -0.09603099441369663), ('Air', -0.09361908958911366), ('using', 0.05476529240278201), ('services', -0.004136780336495916), ('again', -0.0011530148343889346)], 'neutral': [('services', -0.18475045376935037), ('ever', -0.13506359785472846), ('never', -0.10280368756054828), ('using', 0.09349632812764073), ('Air', 0.0746079078838239), ('again', 0.06312933407581725)], 'positive': [('never', 0.19883468197424525), ('services', 0.18888723410584637), ('using', -0.14826162053042272), ('again', -0.061976319241428275), ('ever', 0.031444343626606294), ('Air', 0.019011181705289638)]}
477;There are many things we can do in our spare time;neutral;[0.36076255056095136, 0.24238976004437027, 0.39684768939467857];positive;{'negative': [('do', 0.25382726954563994), ('can', -0.17497578086594626), ('in', -0.09033290898486493), ('things', 0.06907945299659102), ('There', -0.05756014080580952), ('we', 0.04030183313894856)], 'neutral': [('do', -0.24265466596844293), ('are', -0.13697590626823608), ('in', 0.11113746649970298), ('There', 0.09666034301295863), ('many', -0.06452947170895905), ('time', -0.05975108025682162)], 'positive': [('can', 0.16113308151692335), ('are', 0.10668870465866631), ('time', 0.0953723019648347), ('many', 0.07914267755087011), ('we', -0.07802402289995415), ('There', -0.04362018346342518)]}
648;Gettin' more apathetic each time I report stuff like this. Cuz even after last week they still haven't worked on it. Empty promises after empty promises.;negative;[0.8280373173570739, 0.1536701520435037, 0.018292530599422457];negative;{'negative': [('like', 0.14266705943610497), ('this', 0.12065104551764363), ('even', 0.12003548713215643), ('worked', -0.08916522106229822), ('week', -0.08538015967838178), ('more', 0.06706698499911193)], 'neutral': [('like', -0.1309217114639974), ('this', -0.11995338581557044), ('even', -0.11954353152903974), ('worked', 0.09082981123524564), ('week', 0.08617833157694932), ('after', -0.06406307626683827)], 'positive': [('like', -0.011723203166546022), ('more', -0.006513064252499548), ('each', -0.0057213106310570775), ('time', 0.005680672676335553), ('stuff', 0.00529280909898562), ('last', -0.0050275393374752935)]}
88;Price off the roof for an eenie-meenie portion, I can't promise coming back a second time. Cooking's not  even that different from my ma's!;negative;[0.6034863548811954, 0.14801747975528795, 0.24849616536351682];negative;{'negative': [('not', 0.1543380223965011), ('even', 0.14493905130851362), ('Cooking', -0.1349093060149131), ('can', -0.11177141800384834), ('roof', 0.10812100187162173), ('off', 0.10348882428025641)], 'neutral': [('even', -0.12206368924276338), ('portion', -0.07939433845728056), ('the', -0.061509546526914614), ('an', 0.04951640646475602), ('not', -0.04301539353126845), ('time', -0.04278098561652561)], 'positive': [('Cooking', 0.12309980543843127), ('not', -0.11263032170258452), ('can', 0.10847183946199303), ('Price', 0.09399197522634069), ('off', -0.09189204689691244), ('roof', -0.08649714016781264)]}
87;Available now, 5 brand new lunch boxes from Kotak Makan Yooyee, anti-leak lunch box 590 ;neutral;[0.4521018725514112, 0.5249253612304381, 0.02297276621815062];neutral;{'negative': [('new', 0.16489102095030325), ('now', 0.1550143090567113), ('brand', -0.10484680495108975), ('lunch', -0.09243223018471991), ('from', -0.03573201144955155), ('Available', 0.029863868866702607)], 'neutral': [('new', -0.16032757032092446), ('now', -0.12781771412606707), ('brand', 0.11911153766356036), ('lunch', 0.07080558367048918), ('from', 0.030954469902663057), ('Available', -0.030571683296437006)], 'positive': [('now', -0.027196594930644302), ('lunch', 0.021626646514230657), ('brand', -0.014264732712470569), ('from', 0.004777541546888502), ('new', -0.004563450629378768), ('Available', 0.0007078144297344796)]}
462;I don't get why this restaurant is ranked 12th out of 1800-ish restaurants in Jakarta. So expensive! The location is hidden, and the food is so-so. Don't blindly trust misleading reviews.;negative;[0.6413389839620505, 0.019045852343068603, 0.3396151636948811];negative;{'negative': [('so', 0.20542554266354235), ('why', 0.14416234335209618), ('location', -0.0964057211381249), ('So', 0.08784362089142975), ('restaurant', -0.08539707623951008), ('Jakarta', -0.08078617386332478)], 'neutral': [('so', -0.09004161763627067), ('is', -0.08346405590120597), ('get', 0.048861523961416284), ('So', -0.04823735733634479), ('food', -0.046192228497805785), ('and', -0.044956414152507354)], 'positive': [('is', 0.1480617907838929), ('why', -0.1315028926893261), ('so', -0.12901772233030828), ('location', 0.09147069228232611), ('and', 0.09122653600502474), ('restaurant', 0.08150738660243166)]}
500;An explosion during a protest in Afghanistan killed 68 people;neutral;[0.12694014157544825, 0.8581155505366964, 0.01494430788785524];neutral;{'negative': [('in', -0.12384170155245268), ('people', 0.10662173738951758), ('during', -0.04975928854388812), ('An', -0.03986219547382448), ('68', 0.001704043248855821), ('a', -0.0013601565296228264)], 'neutral': [('in', 0.13218059292629888), ('people', -0.09129496757986288), ('An', 0.049963324679850186), ('during', 0.03369889902968342), ('a', 0.001432172123369571), ('68', -0.0011973577190917573)], 'positive': [('during', 0.01607306952847995), ('people', -0.015317926637256903), ('An', -0.010090251396929569), ('in', -0.008331132716858461), ('68', -0.0004961218421882808), ('explosion', -0.00025441313521058496)]}
627;I visited that restaurant together with my friends. Most of my friends were amazed to see the beautiful night view. I had the chance to try their imported steak, very tasty especially the sauce. Mmm yummy. If I have the chance, I'd like to come here again.;positive;[0.03432299105311832, 0.03650260937554396, 0.9291743995713377];positive;{'negative': [('the', -0.06309582253225637), ('here', -0.0540073926261954), ('with', -0.03915585528653355), ('tasty', -0.03793316756168546), ('like', 0.03527632347373078), ('chance', -0.03128672431798266)], 'neutral': [('the', -0.14379145832431847), ('chance', 0.07979843458229166), ('to', -0.07555277803136592), ('very', -0.06828114994387888), ('here', -0.06469292298713346), ('restaurant', -0.056345282459617944)], 'positive': [('the', 0.19134411794427889), ('here', 0.10471731331390928), ('very', 0.07887095889430978), ('to', 0.0778612156939937), ('with', 0.06892063429499083), ('restaurant', 0.06847046421922419)]}
979;The road to Dusun Bambu can be travelled in around 1-2 hours by a private car. Try visiting Dusun Bambu around dusk because it's when we can clearly see the scenery and just in time for dinner.;neutral;[0.05875019854860127, 0.2837320010450407, 0.6575178004063579];positive;{'negative': [('by', -0.05313871753785138), ('can', -0.050705501189223935), ('in', -0.028900239204267188), ('around', -0.02329547587573171), ('hours', -0.022494902710020418), ('road', 0.02180414764767162)], 'neutral': [('and', -0.13323903568749473), ('by', 0.11159534358040407), ('can', -0.10862727333141917), ('scenery', -0.0788442390454062), ('The', -0.07288835366934553), ('the', -0.07223209201699711)], 'positive': [('can', 0.15084280276052014), ('and', 0.1107504650588698), ('scenery', 0.09278846238363775), ('the', 0.06879947278593453), ('The', 0.06877592971816643), ('around', 0.062055610824113636)]}
62;The food is okay, just like the other Xo Suki branches. However, just because it's a national holiday like Eid doesn't mean that you can stop smiling or make us have to order over and over again to get our drinks and others . Please consider the customer's satisfications. Thanks.;negative;[0.7301244949048827, 0.05929393869400589, 0.2105815664011116];negative;{'negative': [('like', 0.23159280724281686), ('customer', 0.07504920586184916), ('can', -0.06784926411175739), ('you', -0.06472673249333855), ('us', 0.06371144218713234), ('others', 0.04990323865580292)], 'neutral': [('and', -0.1253950961935461), ('like', -0.09413805917414445), ('food', -0.06520275204317728), ('over', 0.06076325326363492), ('is', -0.05010739899263229), ('others', -0.04953033653520748)], 'positive': [('like', -0.129598668928723), ('and', 0.10574779252238789), ('the', 0.08312283604250384), ('can', 0.07297472517927256), ('customer', -0.07121512338706124), ('over', -0.06326144411903326)]}
256;This restaurant is the prime culinary destination if you're going to Bandung. Aside from the exceptionally delicious Sundanese menu, this restaurant is also built on the basis of a relaxing meal time in a saung surrounded by the woods and mountains accompanied by shady trees and splashing sounds of river water, giving you an all-around impressive culinary experience.  Must-try for anyone visiting Bandung.;positive;[0.03801827857606155, 0.05413894790039738, 0.907842773523541];positive;{'negative': [('by', -0.06832433461432898), ('the', -0.049509216866115396), ('you', -0.044292401383808785), ('culinary', 0.03869935088118741), ('also', -0.03744958785811728), ('delicious', -0.035882514799346656)], 'neutral': [('the', -0.1398324594128258), ('and', -0.12752192064363116), ('by', 0.11109510674125714), ('is', -0.09722080059991205), ('restaurant', -0.08404329031060136), ('delicious', -0.06870958278796996)], 'positive': [('the', 0.1711279349997441), ('and', 0.13506087595429764), ('restaurant', 0.10475395552050136), ('delicious', 0.09385810891100439), ('is', 0.09322151810817075), ('menu', 0.08224548266895587)]}
292;Activating my Indosat data plan again because I got access to unlimited YouTube;neutral;[0.7916767302462137, 0.1578906036693873, 0.05043266608439908];negative;{'negative': [('Indosat', 0.29732480165113573), ('got', 0.16219860021878754), ('access', -0.07628305835317085), ('because', 0.0648740223389848), ('data', -0.05526838781278372), ('again', -0.0418916916809373)], 'neutral': [('Indosat', -0.2430198552751873), ('got', -0.13207702537808355), ('because', -0.07138950699277037), ('data', 0.059199988828400704), ('again', 0.041402802025069005), ('access', 0.02815203301836102)], 'positive': [('Indosat', -0.05552341188309057), ('access', 0.046745801268864844), ('got', -0.03129535101022389), ('to', 0.018094417541249557), ('my', -0.00578788035603259), ('because', 0.005188220130496686)]}
40;I just met my friend who works at Trans TV;neutral;[0.18243003112717907, 0.7938500556845415, 0.023719913188279502];neutral;{'negative': [('TV', -0.16423089716785244), ('who', 0.15953532683616972), ('works', -0.12137063774264342), ('met', 0.050050353834386094), ('at', -0.046492168113546256), ('my', 0.017122601930595)], 'neutral': [('TV', 0.17051549477364353), ('who', -0.16083159494243746), ('works', 0.12254559605306829), ('at', 0.059842949077698666), ('met', -0.053569567431476776), ('my', -0.01677067102392882)], 'positive': [('at', -0.013646131991892053), ('friend', 0.008379188951761037), ('TV', -0.006958389623456976), ('met', 0.00283557015723298), ('just', 0.0018450188042916837), ('works', -0.0014992988843470895)]}
803;This restaurant in Anggrek Street has a unique and varied selection of seafood, some are even living and can be cooked on demand. The dish variety and the short wait time certainly won't leave us starving for too long. The steamed grouper is especially delicious and flavourful, even more so if cooked while the fish is still fresh. The place is pretty breezy, and the price is reasonable.;positive;[0.04604857055555719, 0.0011979563791885456, 0.9527534730652544];positive;{'negative': [('and', -0.1366792548336976), ('place', -0.07348234975983231), ('delicious', -0.07233983508721484), ('The', -0.06664660178008446), ('even', 0.06563092866269699), ('the', -0.06212702985340348)], 'neutral': [('and', -0.049904269411290586), ('is', -0.03309028698028667), ('The', -0.01993974819200922), ('the', -0.01940539709280173), ('even', -0.015968324021699353), ('This', -0.01539650680490775)], 'positive': [('and', 0.17539421639753475), ('The', 0.07774766568349133), ('delicious', 0.07573452755557286), ('place', 0.07545664034586336), ('the', 0.07097618498283671), ('is', 0.06756337384347107)]}
548;As usual, we always look for a unique culinary experience like no other, and we found this place called Padma Hotel Restaurant. We ordered the available menu. There was Indonesian, Eurpean, and Chinese food, and all of them tasted great.;positive;[0.42929327477348306, 0.013260153802733382, 0.5574465714237836];positive;{'negative': [('great', -0.1798714514651659), ('no', 0.14544921252167853), ('and', -0.1302830407803853), ('place', -0.1279543238533935), ('was', 0.10767505850133004), ('them', 0.10612876101683044)], 'neutral': [('and', -0.08774958067432218), ('food', -0.0382322585826408), ('was', -0.03583163214465495), ('this', -0.034876325216624676), ('place', -0.024950590218848996), ('found', 0.024282861131077787)], 'positive': [('and', 0.20209420804021275), ('great', 0.18051713134740002), ('no', -0.14087060932713627), ('place', 0.13586344332408687), ('them', -0.11209042783235114), ('menu', 0.09534547540391315)]}
356;Yeah, that's the thing that makes me mad. This is not the fault of the applicant but 100% the fault of the higher-ups who God knows how they even coordinate. It's heart-wrenching for me even though this is a case from my friend in Lampung.;negative;[0.93084801057217, 0.008498730469840479, 0.060653258957989405];negative;{'negative': [('the', -0.08144280599939614), ('me', 0.07612508148902412), ('even', 0.071370159269808), ('not', 0.06393207225386077), ('how', 0.0466009495148998), ('Yeah', 0.03759162323469647)], 'neutral': [('even', -0.03861645761504849), ('is', -0.026448682681195226), ('me', -0.02624712822932891), ('This', -0.02563481459054831), ('this', -0.024231405535444294), ('ups', 0.019229943167203275)], 'positive': [('the', 0.09648386601571055), ('me', -0.05594217848914153), ('not', -0.05085401913253886), ('even', -0.04052342905051927), ('how', -0.036965961711356854), ('100', 0.030882160762272067)]}
675;Service may take a bit long, but the atmosphere is cool and unique, so we can enjoy ith while waiting for the food. The menu is varied and delicious;positive;[6.7935703318060735e-06, 4.108150020768966e-06, 0.9999890982796473];positive;{'negative': [('delicious', -0.021048026382776114), ('and', -0.017957547668612534), ('cool', -0.01736901126843274), ('the', -0.015430542718789826), ('can', -0.013563654510427979), ('menu', -0.013196780450825459)], 'neutral': [('and', -0.059789107948506), ('is', -0.04129410974949973), ('food', -0.03680529274786473), ('may', 0.036573678942520865), ('the', -0.036096653135545546), ('delicious', -0.03400776733441067)], 'positive': [('and', 0.07395014847035515), ('delicious', 0.04966456633431763), ('the', 0.04545238017273814), ('is', 0.04516245682922685), ('food', 0.04214851846634579), ('menu', 0.036311113568940685)]}
440;The food here is delicious with many varieties. Everything is delicious with good scenery. Maximum service from Miss Diah and Miss Gina from start to finish. Very well served;positive;[7.449745842346111e-06, 4.333378162627807e-06, 0.999988216875995];positive;{'negative': [('delicious', -0.034053306966773535), ('with', -0.027897510487331384), ('here', -0.02569570627580648), ('scenery', -0.014185792214870681), ('The', -0.012019408190505215), ('and', -0.011741256903913928)], 'neutral': [('is', -0.036206649922600864), ('delicious', -0.03342512001999737), ('food', -0.029891857413783276), ('and', -0.028187656260807038), ('good', -0.026899169864241405), ('with', -0.02550151270318159)], 'positive': [('delicious', 0.06918072961582794), ('with', 0.05493720927300151), ('is', 0.047187346258327434), ('here', 0.047091450221955516), ('and', 0.04181901998463099), ('food', 0.040450140480716684)]}
661;In the upcoming 2018 World Cup, Telkomsel will take part as an official broadcasting partner for the worldwide football event. ;neutral;[0.23661965041637897, 0.6829474325003402, 0.08043291708328086];neutral;{'negative': [('will', -0.18777842846709744), ('World', 0.09406451266605628), ('part', 0.08234701240726226), ('In', -0.05669171836180848), ('for', -0.0527114219411474), ('the', 0.052576018889266087)], 'neutral': [('will', 0.19461801169673662), ('the', -0.11941505853260785), ('World', -0.07818566910930491), ('event', 0.06659444366075194), ('In', 0.06594859221005092), ('part', -0.053045979925425236)], 'positive': [('the', 0.061839801775653666), ('partner', 0.04466537344265043), ('part', -0.03247195129668691), ('Telkomsel', -0.02429437350204225), ('event', -0.023311442199229846), ('an', -0.020931088809176795)]}
146;He/She usually buys Paseo tissue.;neutral;[0.02051745964711407, 0.9747737774914731, 0.004708762861412582];neutral;{'negative': [('usually', -0.10203945502539191), ('She', -0.0723677023276829), ('He', 0.008508981936066232), ('tissue', -0.004980004908174459), ('buys', -0.0036662777188817574), ('Paseo', -0.003127744396449992)], 'neutral': [('usually', 0.11078859415606611), ('She', 0.07887179997771476), ('tissue', 0.00546310996762546), ('buys', 0.004101112878228012), ('He', -0.003919695525612173), ('Paseo', 0.003590155184190874)], 'positive': [('usually', -0.00874913913067423), ('She', -0.006504097650032064), ('He', -0.004589286410454287), ('tissue', -0.0004831050594509814), ('Paseo', -0.00046241078774087206), ('buys', -0.0004348351593462481)]}
844;The bus just wasn't comfortable, miss. Not as good as your boss promised, not to mention the atrocious food, and the disappointing tour destination.;negative;[0.619285251334039, 0.09145036184685061, 0.2892643868191101];negative;{'negative': [('not', 0.17140734907041003), ('Not', 0.16335856361334095), ('disappointing', 0.14478470963360796), ('bus', -0.11270295142364953), ('the', -0.0702564035967364), ('comfortable', -0.06405909940663422)], 'neutral': [('good', -0.11674764687286109), ('food', -0.10990304947230775), ('destination', 0.10033567008175702), ('and', -0.09875688278910318), ('the', -0.07438105766168773), ('mention', 0.05406087455476142)], 'positive': [('not', -0.14129574235072045), ('Not', -0.1326542018952388), ('the', 0.13149902525354318), ('and', 0.09145401310919198), ('bus', 0.0880337020958565), ('comfortable', 0.08718632450918225)]}
963;Pretty easy to locate this place, just gotta follow the directions from the city centre. Later, you should spot a pretty crowded parking space on your left side, that's where this cafe is. Seems like the cafe's rarely empty, really lotsa visitors.;positive;[0.2739366178937753, 0.03945583264253639, 0.6866075494636884];positive;{'negative': [('place', -0.1397721009073948), ('the', -0.13732472982895758), ('spot', -0.12520906758578504), ('should', 0.11498239548321264), ('lotsa', 0.07969269175696563), ('like', 0.074075823708187)], 'neutral': [('this', -0.09988343708759154), ('the', -0.07217037907737112), ('really', -0.05795604079422343), ('cafe', 0.04487081982000883), ('is', -0.04399753174263431), ('should', -0.04379969878604203)], 'positive': [('the', 0.17675170814702643), ('place', 0.1538462031726807), ('spot', 0.117060447058867), ('pretty', 0.09839082286567531), ('should', -0.09751993661407223), ('Pretty', 0.09746582939009928)]}
986;I'm so disappointed with this provider, to the point where I'm frustrated, angry, and mad. I even need to step outside because the signal is just that bad.;negative;[0.8643879022160335, 0.017861060233690936, 0.11775103755027563];negative;{'negative': [('disappointed', 0.11722375856281175), ('bad', 0.10706364738542469), ('so', 0.07388538304917124), ('even', 0.06803127684388013), ('with', -0.06641158484614001), ('the', -0.05217655796559432)], 'neutral': [('so', -0.05077346778670324), ('disappointed', -0.04645566063203307), ('this', -0.04548957701937333), ('bad', -0.04178541700694837), ('even', -0.04027833594339531), ('provider', 0.0323076117477001)], 'positive': [('disappointed', -0.08547556249786688), ('bad', -0.07901421964467402), ('the', 0.062397536607806905), ('with', 0.04653412482900907), ('and', 0.039767478631956565), ('where', 0.03970715424435362)]}
994;The pillow sheet, bed sheet, and blankets are no longer white...and the walls have become mouldy;negative;[0.8030125075480241, 0.04531465370206888, 0.15167283874990695];negative;{'negative': [('no', 0.19743475271933086), ('sheet', 0.08390809682069139), ('bed', 0.06452888823788545), ('The', -0.026868616143503332), ('longer', 0.02608067924203295), ('the', -0.02331545633912055)], 'neutral': [('and', -0.13393781850112627), ('no', -0.06663571304732464), ('sheet', -0.06280819848480895), ('are', -0.0385593855422296), ('walls', 0.024585208309757807), ('the', -0.022658415627089746)], 'positive': [('no', -0.13024204560500346), ('and', 0.1219601153163754), ('bed', -0.053000531238599054), ('The', 0.04837492952657228), ('longer', -0.04363754044019503), ('the', 0.04295420452751271)]}
